Number_of_SNPs,LD_threshold,Species,Depth,Species_depth
5871,0.0001,CERW,10X,CERW_10X
20965,0.001,CERW,10X,CERW_10X
49412,0.1,CERW,10X,CERW_10X
144733,0.2,CERW,10X,CERW_10X
222358,0.3,CERW,10X,CERW_10X
255304,0.4,CERW,10X,CERW_10X
274392,0.5,CERW,10X,CERW_10X
291865,0.8,CERW,10X,CERW_10X
1409,0.0001,CERW,15X,CERW_15X
3505,0.001,CERW,15X,CERW_15X
9051,0.1,CERW,15X,CERW_15X
16545,0.2,CERW,15X,CERW_15X
20881,0.3,CERW,15X,CERW_15X
22659,0.4,CERW,15X,CERW_15X
23842,0.5,CERW,15X,CERW_15X
25162,0.8,CERW,15X,CERW_15X
8651,0.0001,PROW,10X,PROW_10X
23311,0.001,PROW,10X,PROW_10X
54517,0.1,PROW,10X,PROW_10X
178330,0.2,PROW,10X,PROW_10X
307182,0.3,PROW,10X,PROW_10X
373009,0.4,PROW,10X,PROW_10X
410956,0.5,PROW,10X,PROW_10X
439776,0.8,PROW,10X,PROW_10X
1481,0.0001,PROW,15X,PROW_15X
2862,0.001,PROW,15X,PROW_15X
6947,0.1,PROW,15X,PROW_15X
12092,0.2,PROW,15X,PROW_15X
15492,0.3,PROW,15X,PROW_15X
17205,0.4,PROW,15X,PROW_15X
18434,0.5,PROW,15X,PROW_15X
19573,0.8,PROW,15X,PROW_15X
