	ANF1	ANF2	ANF3	ANF4	SGL861	SGL862	GREER1	GREER2	GREER3	ELEVEN1	CHERRY1	CHERRY2	ROYAL1	ROYAL2	ROYAL3	ROYAL4	ROYAL5	ROYAL6	DEER1	YELLOW1	DEER2	YELLOW2	YELLOW3	YELLOW4	WAYLUSING1	WAYLUSING2	WYALUSING3	WYALUSING4	WYALUSING5	WYALUSING6
ANF1	0.00	4.38	20.30	0.97	20.27	21.43	1168.95	1168.87	1168.83	1168.68	1419.53	1419.53	729.73	729.23	727.97	725.57	727.87	727.19	664.15	660.70	664.40	660.54	664.28	660.63	986.94	987.19	986.88	987.68	988.50	987.11
ANF2	4.38	0.00	17.80	3.64	17.12	18.38	1172.67	1172.59	1172.55	1172.40	1423.23	1423.23	734.11	733.60	732.34	729.94	732.24	731.56	667.82	664.40	668.06	664.24	667.95	664.33	988.58	988.82	988.52	989.32	990.15	988.75
ANF3	20.30	17.80	0.00	20.25	3.70	3.22	1172.00	1171.91	1171.87	1171.74	1422.31	1422.31	742.12	741.63	740.23	737.85	740.12	739.48	666.84	663.66	667.09	663.49	666.98	663.59	977.54	977.78	977.48	978.29	979.14	977.71
ANF4	0.97	3.64	20.25	0.00	20.05	21.24	1169.92	1169.83	1169.79	1169.65	1420.50	1420.50	730.55	730.04	728.79	726.38	728.68	728.00	665.12	661.67	665.36	661.51	665.25	661.60	987.76	988.01	987.70	988.50	989.32	987.93
SGL861	20.27	17.12	3.70	20.05	0.00	1.40	1175.58	1175.49	1175.45	1175.32	1425.90	1425.90	744.79	744.31	742.92	740.54	742.81	742.17	670.43	667.24	670.68	667.07	670.57	667.17	980.99	981.23	980.92	981.73	982.59	981.15
SGL862	21.43	18.38	3.22	21.24	1.40	0.00	1175.20	1175.11	1175.07	1174.94	1425.50	1425.50	745.11	744.62	743.23	740.84	743.12	742.48	670.04	666.86	670.28	666.69	670.17	666.79	979.89	980.13	979.83	980.64	981.49	980.06
GREER1	1168.95	1172.67	1172.00	1169.92	1175.58	1175.20	0.00	0.30	0.43	0.46	251.08	251.08	634.78	635.71	630.53	632.35	630.26	632.20	505.26	508.34	505.01	508.52	505.12	508.42	690.34	690.31	690.33	689.71	688.26	690.25
GREER2	1168.87	1172.59	1171.91	1169.83	1175.49	1175.11	0.30	0.00	0.13	0.69	251.14	251.14	634.87	635.80	630.62	632.44	630.35	632.29	505.16	508.26	504.92	508.43	505.03	508.33	690.05	690.02	690.04	689.42	687.97	689.96
GREER3	1168.83	1172.55	1171.87	1169.79	1175.45	1175.07	0.43	0.13	0.00	0.80	251.17	251.17	634.91	635.84	630.65	632.47	630.38	632.32	505.12	508.21	504.87	508.38	504.98	508.29	689.93	689.89	689.92	689.29	687.85	689.84
ELEVEN1	1168.68	1172.40	1171.74	1169.65	1175.32	1174.94	0.46	0.69	0.80	0.00	251.37	251.37	634.35	635.28	630.10	631.92	629.83	631.77	505.00	508.08	504.75	508.25	504.86	508.15	690.52	690.48	690.51	689.88	688.44	690.43
