	BAYOU1	BAYOU2	SFSL1	SFSL2	SFSL3	SFSL4	BAGLEY1	WYALUSING1	BAGLEY2	WYALUSING2	BAGLEY3	BAGLEY4	HOLW1	HOAM1	HOLW2	HONW1	HONW2	HONW3	SANTEE1	SANTEE2	SANTEE3	BEIDLER1	BEIDLER2	RICERIVER1	RICERIVER2	RICERIVER3	DEEPBOTTOM1
BAYOU1	0.00	0.30	50.76	50.99	42.88	43.24	811.26	818.45	811.07	821.06	810.96	811.28	872.57	872.34	872.58	872.64	872.40	872.34	1042.51	1042.51	1042.51	1008.51	1008.51	1243.00	1243.00	1242.96	1235.30
BAYOU2	0.30	0.00	50.91	51.14	42.99	43.35	811.54	818.73	811.35	821.35	811.24	811.56	872.82	872.58	872.82	872.88	872.65	872.58	1042.53	1042.53	1042.53	1008.53	1008.53	1243.15	1243.15	1243.11	1235.45
SFSL1	50.76	50.91	0.00	0.23	9.75	9.14	802.68	809.93	802.50	812.11	802.40	802.70	827.16	826.89	827.17	827.19	826.95	826.89	996.50	996.50	996.50	962.69	962.69	1192.24	1192.24	1192.20	1184.54
SFSL2	50.99	51.14	0.23	0.00	9.95	9.35	802.64	809.88	802.45	812.07	802.36	802.66	826.95	826.68	826.96	826.97	826.74	826.67	996.29	996.29	996.29	962.49	962.49	1192.01	1192.01	1191.97	1184.31
SFSL3	42.88	42.99	9.75	9.95	0.00	0.64	809.07	816.31	808.88	818.56	808.78	809.09	836.87	836.60	836.88	836.89	836.65	836.59	1001.66	1001.66	1001.66	967.77	967.77	1200.49	1200.49	1200.45	1192.83
SFSL4	43.24	43.35	9.14	9.35	0.64	0.00	808.53	815.77	808.34	818.01	808.25	808.55	836.28	836.01	836.29	836.30	836.06	836.00	1001.49	1001.49	1001.49	967.61	967.61	1200.07	1200.07	1200.02	1192.41
BAGLEY1	811.26	811.54	802.68	802.64	809.07	808.53	0.00	7.28	0.25	11.35	0.39	0.03	747.94	748.83	747.68	749.26	749.24	749.20	1455.03	1455.03	1455.03	1431.29	1431.29	1335.45	1335.45	1335.38	1323.34
WYALUSING1	818.45	818.73	809.93	809.88	816.31	815.77	7.28	0.00	7.45	7.43	7.54	7.27	751.77	752.67	751.51	753.10	753.08	753.04	1461.00	1461.00	1461.00	1437.34	1437.34	1339.51	1339.51	1339.44	1327.38
BAGLEY2	811.07	811.35	802.50	802.45	808.88	808.34	0.25	7.45	0.00	11.59	0.15	0.28	748.01	748.90	747.75	749.33	749.31	749.27	1455.00	1455.00	1455.00	1431.26	1431.26	1335.51	1335.51	1335.44	1323.40
WYALUSING2	821.06	821.35	812.11	812.07	818.56	818.01	11.35	7.43	11.59	0.00	11.73	11.32	746.35	747.25	746.08	747.67	747.66	747.62	1458.01	1458.01	1458.01	1434.47	1434.47	1334.26	1334.26	1334.19	1322.12
BAGLEY3	810.96	811.24	802.40	802.36	808.78	808.25	0.39	7.54	0.15	11.73	0.00	0.42	748.07	748.96	747.80	749.38	749.36	749.32	1455.00	1455.00	1455.00	1431.25	1431.25	1335.56	1335.56	1335.49	1323.45
BAGLEY4	811.28	811.56	802.70	802.66	809.09	808.55	0.03	7.27	0.28	11.32	0.42	0.00	747.93	748.82	747.67	749.25	749.23	749.19	1455.03	1455.03	1455.03	1431.29	1431.29	1335.44	1335.44	1335.37	1323.33
HOLW1	872.57	872.82	827.16	826.95	836.87	836.28	747.94	751.77	748.01	746.35	748.07	747.93	0.00	1.19	0.31	1.49	1.61	1.61	824.14	824.14	824.14	811.71	811.71	588.82	588.82	588.75	576.56
